pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,st_teff,sy_dist
TOI-1450 A b,TOI-1450 A,Transit,2024.0,2.0439274,1.13,1.258,3437.0,22.4467
EPIC 201170410.02,EPIC 201170410,Transit,2020.0,6.7987,1.047,1.15,3648.0,134.0
Wolf 503 b,Wolf 503,Transit,2018.0,6.00127,2.043,6.26,4716.0,44.526
G 9-40 b,G 9-40,Transit,2019.0,5.7459982,1.9,4.0,3395.0,27.9276
Kepler-401 c,Kepler-401,Transit,2014.0,47.318218,2.15,5.27,6117.0,965.56
Kepler-1437 b,Kepler-1437,Transit,2016.0,10.9295461,1.37,2.45,5557.0,2101.69
Kepler-220 b,Kepler-220,Transit,2014.0,4.159807,0.81,0.457,4632.0,171.109
Kepler-703 b,Kepler-703,Transit,2016.0,4.583521756,8.2,51.1,6185.0,1156.83
Kepler-1425 b,Kepler-1425,Transit,2016.0,14.4541302,0.94,0.779,5718.0,863.873
Kepler-1350 c,Kepler-1350,Transit,2016.0,1.766789062,1.73,3.64,3827.0,340.691
Kepler-354 c,Kepler-354,Transit,2014.0,16.934402,1.31,2.27,4648.0,554.064
Kepler-1699 b,Kepler-1699,Transit,2020.0,3.49082,1.56671124,3.08,5575.53,818.759
Kepler-206 c,Kepler-206,Transit,2014.0,13.137471,1.77,3.78,5764.0,594.447
Kepler-702 b,Kepler-702,Transit,2016.0,10.526294063,9.17,61.8,5419.0,992.071
Kepler-2001 b,Kepler-2001,Transit,2023.0,1.090011003,1.04,1.12,5081.0,776.55
Kepler-1928 b,Kepler-1928,Transit,2021.0,19.57783,1.992,4.63,5720.0,326.362
Kepler-439 b,Kepler-439,Transit,2015.0,178.1396,2.24,5.65,5431.0,757.048
Kepler-1801 c,Kepler-1801,Transit,2023.0,116.583183,2.91,8.8,5738.0,839.332
Kepler-639 b,Kepler-639,Transit,2016.0,10.21420496,2.38,6.26,5896.0,850.242
HIP 18606 b,HIP 18606,Radial Velocity,2025.0,674.94,14.0,244.72787339,4860.0,47.0288
Kepler-171 b,Kepler-171,Transit,2014.0,4.166972,2.34,6.08,5642.0,863.855
Kepler-1526 b,Kepler-1526,Transit,2016.0,3.908632005,2.43,6.48,4601.0,555.574
HD 86065 b,HD 86065,Radial Velocity,2022.0,25775.78859,12.5,2877.30056857,4927.56,40.3661
HD 115404 A c,HD 115404 A,Radial Velocity,2022.0,15319.22517,12.5,3279.67133183,5019.17,10.9816
Kepler-408 b,Kepler-408,Transit,2014.0,2.46502,0.82,5.0,6104.0,88.7832
K2-411 b,K2-411,Transit,2022.0,3.2141,0.9898,0.937,5711.0,298.219
K2-412 b,K2-412,Transit,2022.0,5.9382,2.116,5.13,5590.0,654.085
GJ 143 b,GJ 143,Transit,2019.0,35.61253,2.61,22.7,4640.0,16.32
GJ 1002 b,GJ 1002,Radial Velocity,2022.0,10.3465,1.03,1.08,3024.0,4.84867
HD 5278 c,HD 5278,Radial Velocity,2021.0,40.87,4.49,18.4,6203.0,57.5846
PZ Tel b,PZ Tel,Imaging,2023.0,44000.0,11.9,8581.366989,5169.0,47.0648
GJ 1151 c,GJ 1151,Radial Velocity,2023.0,389.7,3.25,10.62,3280.0,8.03625
TOI-2076 b,TOI-2076,Transit,2021.0,10.35504,2.59,6.7,5187.0,41.9091
TOI-2076 c,TOI-2076,Transit,2021.0,21.01447,3.54,7.2,5187.0,41.9091
TOI-532 b,TOI-532,Transit,2021.0,2.3266508,5.82,61.5,3927.0,135.047
TOI-672 b,TOI-672,Transit,2023.0,3.633581,5.31,50.9,3810.0,66.9071
TOI-2076 d,TOI-2076,Transit,2021.0,35.12803,3.27,7.3,5187.0,41.9091
TOI-2267 c,TOI-2267 A,Transit,2025.0,3.4950412,1.14,1.55,3030.0,22.55
TOI-2267 b,TOI-2267 A,Transit,2025.0,2.28909,1.0,0.972,3030.0,22.55
TOI-2431 b,TOI-2431,Transit,2026.0,0.22419578,1.534,6.2,4109.0,36.0559
TOI-1232 b,TOI-1232,Transit,2026.0,14.256,10.92875618,220.57291446,5823.0,328.604
HIP 99770 b,HIP 99770,Imaging,2023.0,18600.0,12.2,5403.082919,8000.0,40.0765
TOI-2267 d,TOI-2267 B,Transit,2025.0,2.0344671,1.77,3.78,3022.0,22.55
TOI-198 b,TOI-198,Transit,2023.0,10.215213,1.36,3.17,3801.0,23.7262
TOI-2076 e,TOI-2076,Transit,2025.0,3.0223753,1.301,4.7,5187.0,41.9091
TOI-1232 c,TOI-1232,Transit Timing Variations,2026.0,30.356,8.88,58.48042689,5823.0,328.604
CoRoT-4 b,CoRoT-4,Transit,2008.0,9.20205,13.34,228.83,6190.0,726.412
Kepler-935 b,Kepler-935,Transit,2016.0,4.88083852,1.35,2.39,4830.0,471.782
Kepler-917 b,Kepler-917,Transit,2016.0,2.970414375,1.91,4.31,5418.0,3460.51
HD 167677 b,HD 167677,Radial Velocity,2023.0,1820.0,13.2,905.81095995,5474.0,54.3258
HD 94771 b,HD 94771,Radial Velocity,2023.0,2164.0,14.2,169.0,5631.0,57.7807
Kepler-1760 b,Kepler-1760,Transit,2021.0,38.3260994,2.28995546,5.86,5229.0,
